mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
L152X102X15.9,"29,6",102,0,0,0,102,102,"37,8",874,"86,7","4,8",155,311,"41,3","2,87","74,7","0,00","32,3",0,0,427,"0,204"
L152X102X14.3,"26,9",102,0,0,0,102,102,"34,3",799,"78,8","4,83",141,286,"37,5","2,9","67,7","0,00","23,8",0,0,317,"0,204"
L152X102X12.7,24,102,0,0,0,102,102,"30,6",720,"70,6","4,85",126,259,"33,8","2,9","60,5","0,00","16,9",0,0,226,"0,204"
L152X102X11.1,"21,2",102,0,0,0,102,102,27,641,"62,4","4,88",112,231,30,"2,92","53,1","0,00","11,5",0,0,154,"0,204"
L152X102X9.5,"18,2",102,0,0,0,102,102,"23,3",558,"54,1","4,9","96,5",202,"25,9","2,95","45,7","0,00","7,37",0,0,"0,0991","0,204"
L152X102X7.9,"15,3",102,0,0,0,102,102,"19,5",475,"45,4","4,93","81,3",172,22,"2,97","38,2","0,00","4,33",0,0,"0,0583","0,204"
L152X89X12.7,"22,7","88,9",0,0,0,"88,9","88,9",29,691,"69,3","4,88",123,176,"26,1","2,46","47,2","0,00","16,1",0,0,209,"0,1778"
L152X89X9.5,"17,3","88,9",0,0,0,"88,9","88,9","22,2",537,"52,9","4,9","94,1",139,20,"2,5","35,7","0,00","6,99",0,0,"0,0916","0,1778"
L152X89X7.9,"14,5","88,9",0,0,0,"88,9","88,9","18,6",454,"44,6","4,93","79,3",118,"16,9","2,52","29,8","0,00","4,12",0,0,54,"0,1778"
L127X127X22.2,"40,5",127,0,0,0,127,127,"51,6",741,"84,6","3,78",153,741,"84,6","3,78",153,"0,00","86,2",0,0,948,"0,254"
L127X127X19,"35,1",127,0,0,0,127,127,45,653,"74,1","3,81",133,653,"74,1","3,81",133,"0,00","55,4",0,0,623,"0,254"
L127X127X15.9,"29,8",127,0,0,0,127,127,"38,1",566,"63,1","3,86",114,566,"63,1","3,86",114,"0,00",33,0,0,376,"0,254"
L127X127X12.7,"24,1",127,0,0,0,127,127,"30,9",470,"51,6","3,89","92,8",470,"51,6","3,89","92,8","0,00","17,4",0,0,"0,2","0,254"
L127X127X11.1,"21,3",127,0,0,0,127,127,"27,2",416,"45,6","3,91","81,9",416,"45,6","3,91","81,9","0,00","11,8",0,0,136,"0,254"
L127X127X9.5,"18,3",127,0,0,0,127,127,"23,5",365,"39,5","3,94",71,365,"39,5","3,94",71,"0,00","7,62",0,0,"0,0878","0,254"
L127X127X7.9,"15,3",127,0,0,0,127,127,"19,8",310,"33,4","3,96","59,8",310,"33,4","3,96","59,8","0,00","4,5",0,0,"0,0518","0,254"
L127X89X19,"29,3","88,9",0,0,0,"88,9","88,9","37,7",579,"69,8","3,94",125,230,"36,1","2,47","66,7","0,00","45,4",0,0,408,"0,1778"
L127X89X15.9,"24,9","88,9",0,0,0,"88,9","88,9","31,8",499,"59,5","3,96",107,200,"30,8","2,51","56,2","0,00","27,1",0,0,247,"0,1778"
L127X89X12.7,"20,2","88,9",0,0,0,"88,9","88,9","25,8",416,"48,7","4,01","87,3",167,"25,4","2,54","45,7","0,00","14,3",0,0,132,"0,1778"
L127X89X9.5,"15,4","88,9",0,0,0,"88,9","88,9","19,7",323,"37,4","4,04",67,131,"19,5","2,59","34,7","0,00","6,24",0,0,"0,0583","0,1778"
L127X89X7.9,"12,9","88,9",0,0,0,"88,9","88,9","16,5",274,"31,5","4,06","56,5",112,"16,6","2,59",29,"0,00","3,68",0,0,"0,0344","0,1778"
L127X89X6.4,"10,4","88,9",0,0,0,"88,9","88,9","13,4",223,"25,4","4,09","45,6","91,6","13,4","2,62","23,3","0,00","1,93",0,0,18,"0,1778"
L127X76X12.7,19,"76,2",0,0,0,"76,2","76,2","24,2",393,"47,4","4,01","83,9",106,"18,5","2,09","34,1","0,00","13,4",0,0,119,"0,1524"
L127X76X11.1,"16,7","76,2",0,0,0,"76,2","76,2","21,4",350,42,"4,04","74,2","95,3","16,4","2,11","29,8","0,00","9,16",0,0,"0,0816","0,1524"
L127X76X9.5,"14,5","76,2",0,0,0,"76,2","76,2","18,5",306,"36,4","4,06","64,4","83,7","14,3","2,13","25,7","0,00","5,87",0,0,"0,0526","0,1524"
L127X76X7.9,"12,1","76,2",0,0,0,"76,2","76,2","15,5",260,"30,6","4,09","54,4","71,6","12,1","2,15","21,5","0,00","3,46",0,0,"0,0312","0,1524"
L127X76X6.4,"9,8","76,2",0,0,0,"76,2","76,2","12,5",212,"24,7","4,11","43,9","58,7","9,83","2,17","17,2","0,00","1,82",0,0,"0,0163","0,1524"
L102X102X19,"27,5",102,0,0,0,102,102,"35,1",317,"45,7",3,"82,3",317,"45,7",3,"82,3","0,00","42,5",0,0,301,"0,204"
L102X102X15.9,"23,4",102,0,0,0,102,102,"29,7",276,39,"3,05","70,1",276,39,"3,05","70,1","0,00","25,4",0,0,183,"0,204"
L102X102X12.7,19,102,0,0,0,102,102,"24,2",230,"32,1","3,07","57,4",230,"32,1","3,07","57,4","0,00","13,4",0,0,"0,0983","0,204"
L102X102X11.1,"16,8",102,0,0,0,102,102,"21,3",205,"28,3","3,1","50,8",205,"28,3","3,1","50,8","0,00","9,16",0,0,"0,0677","0,204"
L102X102X9.5,"14,6",102,0,0,0,102,102,"18,5",180,"24,6","3,12","44,1",180,"24,6","3,12","44,1","0,00","5,87",0,0,"0,0435","0,204"
L102X102X7.9,"12,2",102,0,0,0,102,102,"15,5",153,"20,8","3,15",37,153,"20,8","3,15",37,"0,00","3,46",0,0,"0,0259","0,204"
L102X102X6.4,"9,8",102,0,0,0,102,102,"12,5",125,"16,9","3,18","29,8",125,"16,9","3,18","29,8","0,00","1,82",0,0,"0,0136","0,204"
L102X89X12.7,"17,6","88,9",0,0,0,"88,9","88,9","22,6",221,"31,5","3,12","56,7",157,"24,6","2,64","44,1","0,00","12,5",0,0,"0,0811","0,1778"
L102X89X9.5,"13,5","88,9",0,0,0,"88,9","88,9","17,3",173,"24,3","3,18","43,6",123,19,"2,67","33,8","0,00","5,49",0,0,36,"0,1778"
L102X89X7.9,"11,4","88,9",0,0,0,"88,9","88,9","14,5",147,"20,5","3,18","36,7",105,"16,1","2,69","28,5","0,00","3,25",0,0,"0,0214","0,1778"
L102X89X6.4,"9,2","88,9",0,0,0,"88,9","88,9","11,7",120,"16,6","3,2","29,7","86,2",13,"2,72","22,9","0,00","1,71",0,0,"0,0113","0,1778"
L102X76X15.9,"20,2","76,2",0,0,0,"76,2","76,2","25,7",250,"37,4","3,12","66,9",119,22,"2,15","40,1","0,00",22,0,0,127,"0,1524"
L102X76X12.7,"16,4","76,2",0,0,0,"76,2","76,2",21,209,"30,6","3,15","55,1","99,9",18,"2,18","32,6","0,00","11,7",0,0,"0,0685","0,1524"
L102X76X9.5,"12,6","76,2",0,0,0,"76,2","76,2","16,1",164,"23,6","3,2","42,6","78,7","13,9","2,22","24,9","0,00","5,12",0,0,"0,0306","0,1524"
L102X76X7.9,"10,7","76,2",0,0,0,"76,2","76,2","13,5",140,20,"3,23","35,9","67,4","11,8","2,24",21,"0,00","3,04",0,0,"0,0182","0,1524"
L102X76X6.4,"8,6","76,2",0,0,0,"76,2","76,2","10,9",114,"16,2","3,23",29,"55,4","9,59","2,25","16,9","0,00","1,61",0,0,"0,00956","0,1524"
L89X89X12.7,"16,5","88,9",0,0,0,"88,9","88,9",21,151,"24,3","2,67","43,6",151,"24,3","2,67","43,6","0,00","11,7",0,0,"0,0639","0,1778"
L89X89X11.1,"14,6","88,9",0,0,0,"88,9","88,9","18,6",135,"21,6","2,69","38,7",135,"21,6","2,69","38,7","0,00","7,99",0,0,44,"0,1778"
L89X89X9.5,"12,6","88,9",0,0,0,"88,9","88,9","16,1",119,"18,8","2,72","33,8",119,"18,8","2,72","33,8","0,00","5,12",0,0,"0,0285","0,1778"
L89X89X7.9,"10,7","88,9",0,0,0,"88,9","88,9","13,5",102,"15,9","2,74","28,5",102,"15,9","2,74","28,5","0,00","3,04",0,0,17,"0,1778"
L89X89X6.4,"8,6","88,9",0,0,0,"88,9","88,9",11,"83,2","12,9","2,77","23,1","83,2","12,9","2,77","23,1","0,00","1,61",0,0,"0,00897","0,1778"
L89X76X12.7,"15,1","76,2",0,0,0,"76,2","76,2","19,5",144,"23,8","2,72","42,8","96,6","17,9","2,23","32,3","0,00","10,8",0,0,"0,0513","0,1524"
L89X76X11.1,"13,5","76,2",0,0,0,"76,2","76,2","17,2",129,"21,1","2,74",38,87,"15,9","2,25","28,7","0,00","7,41",0,0,"0,0354","0,1524"
L89X76X9.5,"11,7","76,2",0,0,0,"76,2","76,2",15,114,"18,4","2,77","33,3","76,6","13,9","2,27","24,9","0,00","4,75",0,0,23,"0,1524"
L89X76X7.9,"9,8","76,2",0,0,0,"76,2","76,2","12,6",97,"15,6","2,77","28,2","65,8","11,8","2,29",21,"0,00","2,83",0,0,"0,0137","0,1524"
L89X76X6.4,8,"76,2",0,0,0,"76,2","76,2","10,2","79,9","12,7","2,79","22,8","54,1","9,59","2,31",17,"0,00","1,5",0,0,"0,00725","0,1524"
L89X64X12.7,"13,9","63,5",0,0,0,"63,5","63,5","17,9",135,"23,1","2,74","41,3","56,6","12,4","1,78","22,8","0,00","9,74",0,0,"0,0427","0,127"
L89X64X9.5,"10,7","63,5",0,0,0,"63,5","63,5","13,7",107,"17,9","2,79","32,1","45,4","9,65","1,82","17,5","0,00","4,29",0,0,"0,0192","0,127"
L89X64X7.9,9,"63,5",0,0,0,"63,5","63,5","11,5","91,6","15,2","2,82","27,4",39,"8,21","1,84","14,7","0,00","2,54",0,0,"0,0114","0,127"
L89X64X6.4,"7,3","63,5",0,0,0,"63,5","63,5","9,35","75,3","12,3","2,84","22,3","32,3","6,72","1,86","11,9","0,00","1,34",0,0,"0,00604","0,127"
L76X76X12.7,14,"76,2",0,0,0,"76,2","76,2","17,8","91,6","17,4","2,27","31,3","91,6","17,4","2,27","31,3","0,00","9,57",0,0,"0,0387","0,1524"
L76X76X11.1,"12,4","76,2",0,0,0,"76,2","76,2","15,7","82,4","15,5","2,29","27,9","82,4","15,5","2,29","27,9","0,00","6,53",0,0,"0,0269","0,1524"
L76X76X9.5,"10,7","76,2",0,0,0,"76,2","76,2","13,6","72,8","13,5","2,31","24,3","72,8","13,5","2,31","24,3","0,00","4,2",0,0,"0,0175","0,1524"
L76X76X7.9,"9,1","76,2",0,0,0,"76,2","76,2","11,5","62,4","11,5","2,33","20,6","62,4","11,5","2,33","20,6","0,00","2,48",0,0,"0,0105","0,1524"
L76X76X6.4,"7,3","76,2",0,0,0,"76,2","76,2","9,29","51,2","9,32","2,35","16,7","51,2","9,32","2,35","16,7","0,00","1,3",0,0,"0,00553","0,1524"
L76X76X4.8,"5,5","76,2",0,0,0,"76,2","76,2","7,03","39,5","7,1","2,37","12,7","39,5","7,1","2,37","12,7","0,00",566,0,0,"0,00241","0,1524"
L76X64X12.7,"12,6","63,5",0,0,0,"63,5","63,5","16,1","86,2","16,9","2,31","30,5","53,7","12,1","1,82",22,"0,00","8,87",0,0,"0,0301","0,127"
L76X64X11.1,"11,3","63,5",0,0,0,"63,5","63,5","14,3","77,8","15,1","2,33","27,2","48,7","10,7","1,84","19,5","0,00","6,08",0,0,"0,0209","0,127"
L76X64X9.5,"9,8","63,5",0,0,0,"63,5","63,5","12,5","68,7","13,2","2,35","23,8","42,9","9,39","1,86","16,9","0,00","3,93",0,0,"0,0136","0,127"
L76X64X7.9,"8,3","63,5",0,0,0,"63,5","63,5","10,5","58,7","11,2","2,37","20,2",37,"7,98","1,88","14,3","0,00","2,33",0,0,"0,00816","0,127"
L76X64X6.4,"6,7","63,5",0,0,0,"63,5","63,5","8,52","48,3","9,09","2,39","16,4","30,6","6,51","1,89","11,6","0,00","1,23",0,0,"0,00432","0,127"
L76X64X4.8,"5,1","63,5",0,0,0,"63,5","63,5","6,45","37,4","6,93","2,41","12,5","23,6","4,97","1,91","8,78","0,00",541,0,0,"0,00189","0,127"
L76X51X12.7,"11,5","50,8",0,0,0,"50,8","50,8","14,6","79,9","16,4","2,34","29,2","27,8","7,7","1,38","14,5","0,00","7,99",0,0,"0,0244","0,1016"
L76X51X9.5,"8,8","50,8",0,0,0,"50,8","50,8","11,3","64,1","12,8","2,38","22,8","22,4","6,03","1,41","11,1","0,00","3,56",0,0,"0,0111","0,1016"
L76X51X7.9,"7,4","50,8",0,0,0,"50,8","50,8","9,55","54,9","10,8","2,4","19,5","19,4","5,15","1,43","9,37","0,00","2,12",0,0,"0,00666","0,1016"
L76X51X6.4,"6,1","50,8",0,0,0,"50,8","50,8","7,74","45,4","8,87","2,42","15,9","16,2","4,23","1,45","7,59","0,00","1,12",0,0,"0,00354","0,1016"
L76X51X4.8,"4,6","50,8",0,0,0,"50,8","50,8","5,92","35,3","6,78","2,44","12,2","12,7","3,24","1,47","5,75","0,00",495,0,0,"0,00155","0,1016"
L64X64X12.7,"11,4","63,5",0,0,0,"63,5","63,5","14,6","50,8","11,7","1,87","21,1","50,8","11,7","1,87","21,1","0,00","7,83",0,0,"0,0212","0,127"
L64X64X9.5,"8,7","63,5",0,0,0,"63,5","63,5","11,2","40,5","9,14","1,9","16,6","40,5","9,14","1,9","16,6","0,00","3,47",0,0,"0,00972","0,127"
L64X64X7.9,"7,4","63,5",0,0,0,"63,5","63,5","9,42","34,8","7,77","1,92",14,"34,8","7,77","1,92",14,"0,00","2,06",0,0,"0,00585","0,127"
L64X64X6.4,"6,1","63,5",0,0,0,"63,5","63,5","7,68","28,8","6,34","1,94","11,4","28,8","6,34","1,94","11,4","0,00","1,09",0,0,"0,00312","0,127"
L64X64X4.8,"4,6","63,5",0,0,0,"63,5","63,5","5,81","22,3","4,83","1,96","8,67","22,3","4,83","1,96","8,67","0,00",475,0,0,"0,00137","0,127"
L64X51X9.5,"7,9","50,8",0,0,0,"50,8","50,8",10,38,"8,95","1,95","16,1","21,4","5,92","1,46","10,8","0,00","3,11",0,0,"0,0072","0,1016"
L64X51X7.9,"6,7","50,8",0,0,0,"50,8","50,8","8,52","32,9","7,62","1,97","13,7","18,6","5,06","1,48","9,13","0,00","1,85",0,0,"0,00435","0,1016"
L64X51X6.4,"5,4","50,8",0,0,0,"50,8","50,8","6,9","27,3","6,24","1,99","11,3","15,5","4,15","1,5","7,44","0,00",978,0,0,"0,00233","0,1016"
L64X51X4.8,"4,2","50,8",0,0,0,"50,8","50,8","5,28","21,3","4,8","2,01","8,67","12,2","3,2","1,52","5,69","0,00",429,0,0,"0,00103","0,1016"
L64X38X6.4,"4,8","38,1",0,0,0,"38,1","38,1","6,11","24,7","5,96","2,01","10,6","6,66","2,33","1,04","4,28","0,00","0,87",0,0,"0,00186","0,0762"
L64X38X4.8,"3,6","38,1",0,0,0,"38,1","38,1","4,67","19,3","4,59","2,03","8,14","5,24","1,8","1,06","3,24","0,00",383,0,0,"0,000822","0,0762"
L51X51X9.5,7,"50,8",0,0,0,"50,8","50,8","8,84","19,8","5,7","1,5","10,3","19,8","5,7","1,5","10,3","0,00","2,74",0,0,"0,00467","0,1016"
L51X51X7.9,"5,8","50,8",0,0,0,"50,8","50,8","7,48","17,2","4,88","1,52","8,8","17,2","4,88","1,52","8,8","0,00","1,64",0,0,"0,00285","0,1016"
L51X51X6.4,"4,7","50,8",0,0,0,"50,8","50,8","6,09","14,4",4,"1,54","7,21","14,4",4,"1,54","7,21","0,00","0,87",0,0,"0,00154","0,1016"
L51X51X4.8,"3,6","50,8",0,0,0,"50,8","50,8","4,66","11,3","3,08","1,55","5,54","11,3","3,08","1,55","5,54","0,00",383,0,0,"0,000682","0,1016"
L51X51X3.2,"2,4","50,8",0,0,0,"50,8","50,8","3,17","7,87","2,11","1,57","3,77","7,87","2,11","1,57","3,77","0,00",122,0,0,"0,000212","0,1016"
WT550X249.5,250,559,404,"26,2",45,469,469,317,90300,2150,"16,8",3830,25000,1230,"8,86",1930,"0,00",1550,"4,5","17,9",118,"2,6816"
WT550X216.5,216,554,401,22,"40,1","473,8","473,8",275,76200,1820,"16,6",3210,21700,1080,"8,86",1670,"0,00",1060,"5,02","21,54","73,8","2,668"
WT550X195,195,551,401,"19,9","36,1","478,8","478,8",248,68300,1630,"16,6",2880,19200,960,"8,81",1490,"0,00",774,"5,57","24,06","53,7","2,6662"
WT550X171.5,172,546,401,18,31,484,484,219,59900,1450,"16,6",2570,16600,828,"8,71",1280,"0,00",516,"6,45","26,89","37,3","2,66"
WT500X441.5,442,546,424,"45,5",82,382,382,563,138000,3420,"15,6",6210,52400,2470,"9,65",3930,"0,00",9200,"2,58","8,4",628,"2,697"
WT500X374,374,533,417,"39,1","70,1","392,8","392,8",477,114000,2850,"15,4",5150,42500,2030,"9,45",3230,"0,00",5740,"2,98","10,05",376,"2,6558"
WT500X321,321,523,411,34,"59,9","403,2","403,2",408,95300,2430,"15,3",4360,35100,1700,"9,27",2690,"0,00",3670,"3,44","11,86",237,"2,622"
WT500X295.5,296,521,409,31,"55,9","409,2","409,2",376,86200,2200,"15,1",3930,32100,1570,"9,22",2460,"0,00",2940,"3,66","13,2",182,"2,616"
WT500X277,277,516,409,"29,5","52,1","411,8","411,8",353,80300,2060,"15,1",3690,29500,1450,"9,14",2260,"0,00",2400,"3,93","13,96",150,"2,609"
WT500X269.5,270,516,406,"28,4","51,1","413,8","413,8",343,77800,2000,15,3560,28800,1410,"9,14",2210,"0,00",2260,"3,99","14,57",137,"2,5992"
WT500X241.5,242,511,404,"25,4",46,419,419,308,68700,1770,"14,9",3150,25300,1260,"9,07",1950,"0,00",1650,"4,4","16,5","97,2","2,5872"
WT500X221.5,222,505,401,"23,6","41,9","421,2","421,2",281,62400,1620,"14,9",2880,22700,1130,"8,99",1750,"0,00",1270,"4,8","17,85","74,9","2,5668"
WT500X206,206,503,401,"21,1","40,1","422,8","422,8",263,56600,1450,"14,7",2570,21700,1080,"9,09",1670,"0,00",1070,"5,03","20,04","58,5","2,5678"
WT500X185.5,186,500,401,"19,1","36,1","427,8","427,8",237,50400,1300,"14,6",2290,19300,964,"9,02",1490,"0,00",791,"5,55","22,4","42,4","2,5658"
WT500X160.5,160,495,401,"16,5",31,433,433,205,42900,1110,"14,5",1970,16600,828,"8,99",1270,"0,00",516,"6,45","26,24","27,1","2,561"
WT500X148,148,490,401,"16,5","27,2","435,6","435,6",188,41100,1090,"14,8",1920,14400,723,"8,76",1120,"0,00",380,"7,39","26,4","22,4","2,551"
WT500X292,292,528,315,"36,1",64,400,400,373,94500,2510,"15,9",4510,16700,1060,"6,71",1740,"0,00",3550,"2,45","11,08",214,"2,2438"
WT500X247,247,518,310,31,"54,1","409,8","409,8",315,78300,2100,"15,8",3790,13400,867,"6,53",1400,"0,00",2190,"2,86","13,22",130,"2,214"
WT500X243,243,518,307,30,"54,1","409,8","409,8",309,76600,2050,"15,7",3670,13300,864,"6,55",1390,"0,00",2140,"2,85","13,66",121,"2,204"
WT500X219,219,513,305,"26,9",49,415,415,278,67800,1820,"15,6",3260,11700,765,"6,48",1230,"0,00",1590,"3,11","15,43","86,5","2,1922"
WT500X207.5,208,511,305,"26,2",46,419,419,265,64500,1740,"15,6",3130,10900,713,"6,4",1150,"0,00",1350,"3,31","15,99","75,7","2,1896"
WT500X196.5,196,508,302,"24,4","43,9","420,2","420,2",250,60400,1630,"15,5",2920,10200,677,"6,4",1080,"0,00",1160,"3,45","17,22","62,6","2,1752"
WT500X175,175,503,302,"21,1","40,1","422,8","422,8",223,52400,1400,"15,3",2510,9240,611,"6,45",967,"0,00",857,"3,77","20,04","41,9","2,1718"
WT500X157,157,500,300,"19,1","36,1","427,8","427,8",201,46600,1260,"15,3",2250,8120,541,"6,38",854,"0,00",633,"4,17","22,4","30,3","2,1618"
WT500X136,136,495,300,"16,5","30,5",434,434,172,39800,1080,"15,2",1920,6870,459,"6,32",721,"0,00",402,"4,92","26,3","19,1","2,157"
WT500X124.5,125,490,300,"16,5","26,2","437,6","437,6",158,37400,1040,"15,4",1880,5870,392,"6,1",619,"0,00",291,"5,76","26,52","16,9","2,147"
WT500X111,111,485,300,16,"21,1","442,8","442,8",141,33900,978,"15,5",1770,4750,318,"5,82",506,"0,00",194,"7,11","27,68","13,9","2,138"
WT460X485,485,521,447,50,"89,9","341,2","341,2",621,132000,3410,"14,6",6280,67000,3020,"10,4",4750,"0,00",12300,"2,48","6,82",824,"2,73"
WT460X393.5,394,505,437,"40,9","73,9","357,2","357,2",502,102000,2690,"14,2",4880,51600,2380,"10,2",3720,"0,00",6780,"2,96","8,73",430,"2,6762"
WT460X362.5,362,500,434,"38,1","68,1","363,8","363,8",463,92400,2460,"14,1",4460,46600,2150,"10,1",3380,"0,00",5330,"3,19","9,55",336,"2,6598"
WT460X328,328,493,432,"34,5",62,369,369,419,82400,2200,14,3970,41500,1920,"9,96",3020,"0,00",4020,"3,48","10,7",245,"2,645"
WT460X294,294,488,427,31,"55,9","376,2","376,2",375,72400,1950,"13,9",3490,36500,1700,"9,86",2650,"0,00",2940,"3,83","12,14",175,"2,622"
WT460X268.5,268,483,424,"28,4","51,1","380,8","380,8",342,65300,1750,"13,8",3150,32700,1540,"9,78",2390,"0,00",2250,"4,16","13,41",132,"2,6052"
WT460X245.5,246,478,422,"25,9",47,384,384,312,58700,1590,"13,7",2830,29600,1400,"9,73",2160,"0,00",1750,"4,49","14,83","99,9","2,5922"
WT460X224.5,224,475,424,24,"42,7","389,6","389,6",287,53300,1460,"13,6",2590,27000,1270,"9,7",1970,"0,00",1340,"4,96","16,23","76,5","2,598"
WT460X210,210,472,422,"22,5","39,9","392,2","392,2",268,49500,1350,"13,6",2390,24900,1180,"9,65",1840,"0,00",1090,"5,29","17,43",62,"2,587"
WT460X195,195,467,422,"21,3","36,6","393,8","393,8",248,46200,1270,"13,6",2250,22700,1080,"9,55",1670,"0,00",866,"5,75","18,49","49,7","2,5794"
WT460X184,184,465,419,"20,3","34,3","396,4","396,4",234,43300,1200,"13,6",2110,21100,1010,"9,5",1550,"0,00",720,"6,11","19,53","41,6","2,5654"
WT460X171.9,172,464,419,"19,3",32,400,400,220,40700,1130,"13,6",2000,19600,934,"9,42",1440,"0,00",595,"6,54","20,73","34,6","2,5654"
WT460X190.5,190,475,310,"24,4","43,9","387,2","387,2",243,50400,1430,"14,4",2560,11000,708,"6,73",1120,"0,00",1100,"3,53","15,87",55,"2,1412"
WT460X172.5,172,472,307,"22,1","39,9","392,2","392,2",219,45000,1290,"14,3",2290,9740,633,"6,65",998,"0,00",820,"3,86","17,75","40,5","2,1278"
WT460X156.5,156,465,310,"21,1","34,5",396,396,199,41000,1200,"14,4",2150,8570,554,"6,55",875,"0,00",579,"4,48","18,77",32,"2,1278"
WT460X144.5,144,462,307,"19,4",32,398,398,184,37500,1100,"14,3",1970,7780,506,"6,5",800,"0,00",462,"4,81","20,52","24,9","2,1132"
WT460X135.5,136,462,307,"18,4",30,402,402,173,35200,1030,"14,3",1850,7240,472,"6,48",742,"0,00",383,"5,12","21,85","20,8","2,1152"
WT460X126.5,126,460,305,"17,3","27,9","404,2","404,2",161,32700,965,"14,2",1720,6660,436,"6,43",685,"0,00",313,"5,47","23,36",17,"2,1054"
WT460X119,119,457,305,"16,5","25,9","405,2","405,2",152,30800,914,"14,2",1640,6120,403,"6,35",633,"0,00",257,"5,88","24,56","14,4","2,101"
WT460X111.5,112,455,305,"15,9","23,9","407,2","407,2",143,29100,870,"14,3",1560,5620,369,"6,27",580,"0,00",210,"6,37","25,61","12,4","2,0982"
WT460X100.5,100,452,305,"15,2","20,1","411,8","411,8",128,26500,814,"14,4",1480,4700,310,"6,05",488,"0,00",145,"7,56","27,09",10,"2,0936"
WT420X288,288,457,411,32,"57,9","341,2","341,2",368,60800,1750,"12,9",3160,33700,1640,"9,58",2560,"0,00",3080,"3,55","10,66",165,"2,494"
WT420X263.5,264,452,409,"29,5","53,1","345,8","345,8",336,54900,1590,"12,8",2850,30300,1480,"9,5",2310,"0,00",2380,"3,85","11,72",126,"2,481"
WT420X236.5,237,447,406,"26,4",48,351,351,302,48300,1410,"12,7",2520,26800,1320,"9,42",2050,"0,00",1750,"4,23","13,3",90,"2,4652"
WT420X216.5,216,442,404,"24,4","43,9","354,2","354,2",276,44100,1280,"12,6",2290,24200,1200,"9,35",1850,"0,00",1350,"4,6","14,52","68,7","2,4512"
WT420X196,196,439,401,"22,1","39,9","359,2","359,2",250,39300,1150,"12,5",2050,21500,1070,"9,27",1660,"0,00",1010,"5,03","16,25","50,5","2,4378"
WT420X179.5,180,434,404,"21,1","35,6","362,8","362,8",230,36300,1080,"12,6",1900,19400,964,"9,19",1490,"0,00",749,"5,66","17,19","39,2","2,4418"
WT420X164.5,164,432,401,"19,7","32,5",367,367,210,33300,996,"12,6",1750,17500,872,"9,12",1350,"0,00",579,"6,2","18,63","30,3","2,4286"
WT420X149.5,150,427,399,"18,2","29,2","368,6","368,6",192,30200,909,"12,6",1600,15600,780,"9,04",1200,"0,00",433,"6,85","20,25","22,8","2,4136"
WT420X125.5,125,429,292,17,31,367,367,159,27000,837,13,1490,6450,442,"6,35",690,"0,00",367,"4,71","21,59","14,9","1,992"
WT420X113,113,424,295,"16,1","26,9","370,2","370,2",145,24600,777,"13,1",1380,5660,387,"6,27",605,"0,00",256,"5,48","22,99","11,5","1,9958"
WT420X105,105,424,292,"15,4","24,4","375,2","375,2",134,23000,733,"13,1",1310,5120,349,"6,17",547,"0,00",201,"6,01","24,36","9,51","1,9852"
WT420X96.5,"96,5",419,292,"14,7","21,7","375,6","375,6",123,21400,690,"13,2",1240,4540,310,"6,05",487,"0,00",153,"6,73","25,55","7,87","1,9766"
WT420X88,88,417,292,14,"18,8","379,4","379,4",112,19500,642,"13,2",1160,3890,267,"5,89",420,"0,00",110,"7,76","27,1","6,28","1,974"
WT380X291,291,422,396,"34,5",62,298,298,372,50800,1590,"11,7",2900,32200,1630,"9,32",2540,"0,00",3590,"3,19","8,64",171,"2,359"
WT380X265.5,266,417,394,"31,5","56,9","303,2","303,2",339,45400,1430,"11,6",2610,28800,1470,"9,25",2290,"0,00",2770,"3,45","9,63",128,"2,347"
WT380X242,242,411,391,29,"52,1","306,8","306,8",310,40800,1290,"11,5",2340,25900,1330,"9,14",2060,"0,00",2130,"3,75","10,58","96,9","2,328"
WT380X217,217,406,389,"25,9",47,312,312,277,35800,1140,"11,4",2050,22900,1180,"9,09",1820,"0,00",1560,"4,12","12,05",69,"2,3162"
WT380X194.5,194,401,386,"23,6","41,9","317,2","317,2",248,31800,1020,"11,3",1840,20000,1040,"8,97",1600,"0,00",1120,"4,59","13,44","49,4","2,2988"
WT380X175,175,399,384,"21,1","38,1","322,8","322,8",224,28100,903,"11,2",1610,17800,931,"8,92",1430,"0,00",837,"5,02","15,3","35,7","2,2918"
WT380X157,157,394,384,"19,7","33,5",327,327,201,25400,828,"11,3",1470,15700,821,"8,86",1270,"0,00",587,"5,74","16,6","25,9","2,2846"
WT380X142,142,389,381,18,"30,2","328,6","328,6",181,22900,749,"11,2",1320,14000,733,"8,79",1130,"0,00",437,"6,35","18,26","19,1","2,266"
WT380X128.5,128,386,381,"16,6","27,2","331,6","331,6",164,20700,683,"11,2",1200,12400,654,"8,69",1010,"0,00",324,"7,04","19,98","14,2","2,2628"
